sentences,lable
"The Muscovy duck (Cairina moschata) is a large duck native to the Americas, from the Rio Grande Valley of Texas and Mexico south to Argentina and Uruguay",0
" Small wild and feral breeding populations have established themselves in the United States, particularly in Florida, Louisiana, Massachusetts, the Big Island of Hawaii, as well as in many other parts of North America, including southern Canada",0
" Feral Muscovy ducks are found in New Zealand, Australia, and in Central and Eastern Europe",0
"It is a large duck, with the males about 76 cm (30 in) long, and weighing up to 7 kg (15 lb)",0
" Females are noticeably smaller, and only grow to 3 kg (6",0
"6 lb), roughly half the males' size",0
" The bird is predominantly black and white, with the back feathers being iridescent and glossy in males, while the females are more drab",0
" The amount of white on the neck and head is variable, as well as the bill, which can be yellow, pink, black, or any mixture of these colors",0
" It may have white patches or bars on the wings, which become more noticeable during flight",0
" Both sexes have pink or red wattles around the bill, those of the male being larger and more brightly colored",0
"Although the Muscovy duck is a tropical bird, it adapts well to cooler climates, thriving in weather as cold as −12 °C (10 °F) and able to survive even colder conditions",0
" In general, Barbary duck is the term used for C",0
 moschata in a culinary context,0
"
The domestic subspecies, Cairina moschata domestica, is commonly known in Spanish as the pato criollo",0
 They have been bred since pre-Columbian times by Native Americans and are heavier and less able to fly long distances than the wild subspecies,0
 Their plumage color is also more variable,0
" Other names for the domestic breed in Spanish are pato casero (""backyard duck"") and pato mudo (""mute duck"")",0
"


== Description ==

All Muscovy ducks have long claws on their feet and a wide, flat tail",0
" In the domestic drake (male), length is about 86 cm (34 in) and weight is 4",0
6–6,0
"8 kg (10–15 lb), while the domestic hen (female) is much smaller, at 64 cm (25 in) in length and 2",0
7–3,0
6 kg (6,0
0–7,0
9 lb) in weight,0
" Large domesticated males often weigh up to 7 kg (15 lb), and large domesticated females up to 4 kg (8",0
8 lb),0
"
The true wild Muscovy duck, from which all domestic Muscovies originated, is blackish, with large white wing patches",0
" Length can range from 66 to 84 cm (26 to 33 in), wingspan from 137 to 152 cm (54 to 60 in) and weight from 1",0
1 to 4,0
1 kg (2,0
4 to 9,0
0 lb),0
" On the head, the wild male has a short crest on the nape",0
 The bill is black with a speckling of pale pink,0
" A blackish or dark red knob can be seen at the bill base, which is similar in colour to the bare skin of the face",0
 The eyes are yellowish-brown,0
 The legs and webbed feet are blackish,0
" The wild female is similar in plumage, but much smaller, with a feathered face and lacking the prominent knob",0
" The juvenile is duller overall, with little or no white on the upperwing",0
"Domesticated birds may look similar; most are dark brown or black mixed with white, particularly on the head",0
" Other colors, such as lavender or all-white, are also seen",0
 Both sexes have a nude black-and-red or all-red face; the drake also has pronounced caruncles at the base of the bill and a low erectile crest of feathers,0
 C,0
 moschata ducklings are mostly yellow with buff-brown markings on the tail and wings,0
" For a while after hatching, juveniles lack the distinctive wattles associated with adult individuals, and resemble the offspring of various other ducks, such as mallards",0
" Some domesticated ducklings have a dark head and blue eyes, others a light brown crown and dark markings on their nape",0
 They are agile and speedy precocial birds,0
"
The drake has a low breathy call, and the hen a quiet trilling coo",0
"
The karyotype of the Muscovy duck is 2n=80, consisting of three pairs of macrochromosomes, 36 pairs of microchromosomes, and a pair of sex chromosomes",0
" The two largest macrochromosome pairs are submetacentric, while all other chromosomes are acrocentric or probably telocentric for the smallest microchromosomes",0
" The submetacentric chromosomes and the Z (female) chromosome show rather little constitutive heterochromatin (C bands), while the W chromosomes are at least two-thirds heterochromatin",0
Male Muscovy ducks have helical penises that become erect to 19 cm (7 in) in 0,0
3 s,0
 Females have vaginas that coil in the opposite direction that appear to have evolved to limit forced copulation by males,0
